住む,すむ,live
住民,じゅうみん,residents
所,ところ,place
住所,じゅうしょ,address
台所,だいどころ,kitchen
場所,ばしょ,place
東京,とうきょう,Tokyo
東京都,とうきょうと,Tokyo
都合がいい,つごうがいい,It's convenient
首都,しゅと,capital
京都府,きょうとふ,Kyoto prefecture
大阪府,おおさかふ,Osaka prefecture
政府,せいふ,government
山口県,やまぐちけん,Yamaguchi prefecture
県,けん,prefecture
県知事,けんちじ,prefectural governor
京都市,きょうとし,Kyoto City
市長,しちょう,mayor
市場,いちば,market
北区,きたく,Kita Ward
文京区,ぶんきょうく,Bunkyo Ward
区長,くちょう,Ward mayor
町,まち,town
下町,したまち,downtown
町長,ちょうちょう,mayor
村,むら,village
村人,むらびと,villager
村長,そんちょう,village chief
明るい,あかるい,bright
明日,あした,tomorrow
説明,せつめい,explanation
発明,はつめい,invention
暗い,くらい,dark
暗号,あんごう,cryptography
遠い,とおい,far
遠足,えんそく,excursion
近い,ちかい,close
近所,きんじょ,neighborhood
最近,さいきん,recently
強い,つよい,strong
勉強する,べんきょうする,study
強風,きょうふう,strong wind
弱い,よわい,weak
強弱,きょうじゃく,strength and weakness
重い,おもい,heavy
重大な,じゅうだいな,serious
体重,たいじゅう,body weight
軽い,かるい,light
太い,ふとい,thick
軽食,けうしょく,Snacks
太陽,たいよう,solar
細い,ほそい,thin
細かい,こまかい,fine
細工,さいく,Craftsmanship
特に,とくに,especially
特別な,とくべつな,special
特急,とっきゅう,express
別れる,わかれる,break up
別々に,べつべつに,separately
区別する,くべつする,distinguish
分別する,ぶんべつする,separate
有る,ある,Yes
有名な,ゆうめいな,famous
有料,ゆうりょう,Paid
便り,たより,news
郵便局,ゆうびんきょく,post office
船便,ふなびん,Sea mail
便利な,べんりな,convenient
利用する,りようする,use
利子,りし,interest
有利な,ゆうりな,advantageous
不便な,ふべんな,inconvenient
不足すると,ふそくする,If there is a shortage
不安な,ふあんな,anxious
不運な,ふうんな,unlucky
切る,きる,cut
切手,きって,stamp
大切な,たいせつな,important
親切な,しんせつな,kind
元気な,げんきな,energetic
元日,がんじつ,New Year's Day
紀元前,きげんぜん,B.C.
好きな,すきな,I like it
好意,こうい,Good feeling
好物,こうぶつ,favorite
急に,きゅうに,suddenly
特急,とっきゅう,express
急ぐ,いそぐ,hurry
急用,きゅうよう,urgent business
低い,ひくい,low
低下する,ていかする,decline
低気圧,ていきあつ,low pressure
広い,ひろい,wide
広場,ひろば,square
広大な,こうだいな,vast
短い,みじかい,short
短時間,たんじかん,short time
良い,よい,good
良心,りょうしん,conscience
悪い,わるい,bad
億人,おくにん,billion people
正しい,ただしい,correct
正月,しょうがつ,New Year
正門,せいもん,main gate
変わる,かわる,change
変な,へんな,strange
大変,たいへん,hard
変化する,へんかする,change
赤い,あかい,red
赤ちゃん,あかちゃん,baby
赤信号,あかしんご,red light
赤道,せきどう,equator
青い,あおい,blue
青空,あおぞら,blue sky
青春,せいしゅん,youth
黒い,くろい,black
真っ黒,まっくろ,pitch black
