みます,見ます/診ます,check; take a look at
さがします,探します/捜します,look for; search
おくれます,遅れます[時間に～],"be late [for an appointment, etc.]"
まに あいます,間に 合います[時間に～],"be in time [for an appointment, etc.]"
やります,,do
さんかします,参加します[パーティーに～],attend [a party]
もうしこみます,申し込みます,apply for; enter for
つごうがいい,都合が いい,convenient (time)
つごうがわるい,都合が 悪い,inconvenient (time)
きぶんがいい,気分が いい,feel well
きぶんがわるい,気分が 悪い,feel ill
うんどうかい,運動会,athletic meeting; sports day
ぼんおどり,盆踊り,Bon Festival dance
フリーマーケット,,flea market
ばしょ,場所,place
ボランティア,,volunteer
さいふ,財布,wallet; purse
ごみ,,garbage; rubbish; dust
こっかいぎじどう,国会議事堂,the Diet Building
へいじつ,平日,weekday
～べん,～弁,~ dialect
こんど,今度,next time; another time
ちょくせつ,直接,directly
こんな,こんな～,~ like this (near the listener)
そんな,そんな～,~ like that (near the listener)
あんな,あんな～,~ like that (far from both the speaker and the listener)
どこでも,,anywhere
だれでも,,anybody
なんでも,何でも,anything
こんなに,,so; like this
エドヤストア,,fictitious store
かいます,飼います,keep (a pet); raise (an animal)
はしります,走ります[道を～],run; drive [along a road]
みえます,見えます[山が～],[a mountain] can be seen
きこえます,聞こえます[音が～],[a sound] can be heard
できます,できます[道が～],[a road] be made; be completed; come into existence
ひらきます,開きます[教室を～],set up [a class]; open; hold
しんぱい[な],心配[な],worried; anxious
ペット,,pet
とり,鳥,bird
こえ,声,voice
なみ,波,wave
はなび,花火,fireworks
どうぐ,道具,tool; instrument; equipment
クリーニング,,(dry) cleaning; laundry
いえ,家,house; home
マンション,,condominium; apartment house; blocks of flats
キッチン,,kitchen
～きょうしつ,～教室,~ class
パーティールーム,,party room
かた,方,person (respectful equivalent of ひと)
～ご,～後,after ~ (duration of time)
～しか,,only ~ (used with negatives)
ほかの,,other
はっきり,,clearly
かぐ,家具,furniture
ほんだな,本棚,bookcase
いつか,,one day; some day
たてます,建てます,build
すばらしい,,wonderful
こどもたち,子どもたち,children
だいすき[な],大好き[な],like very much
しゅじんこう,主人公,hero; heroine
かたち,形,shape
ふしぎ[な],不思議[な],fantastic; mysterious
ポケット,,pocket
たとえば,,for example
つけます,付けます,attach; put on
じゆうに,自由に,freely
そら,空,sky
とびます,飛びます,fly
むかし,昔,old days; ancient times
じぶん,自分,oneself
しょうらい,将来,future
※ドラえもん,,name of a cartoon character
Hiragana,Kanji,Meaning
かいます,飼います,"keep (a pet), raise (an animal)"
はしります,走ります,"run, drive [along a road]"
みえます,見えます,[a mountain] can be seen
きこえます,聞こえます,[a sound] can be heard
できます,,"[a road] be made, be completed, come into existence"
ひらきます,開きます,"set up [a class], open, hold"
しんぱい [な],心配[な],"worried, anxious"
ペット,,pet
とり,鳥,bird
こえ,声,voice
なみ,波,wave
はなび,花火,fireworks
どうぐ,道具,"tool, instrument, equipment"
クリーニング,,"(dry) cleaning, laundry"
いえ,家,"house, home"
マンション,,"condominium, apartment house"
キッチン,,kitchen
~きょうしつ,~教室,~ class
パーティールーム,,party room
かた,方,person (respectful equivalent of ひと)
~ご,~後,after (duration of time)
~しか,,only~ (used with negatives)
ほかの,,other
はっきり,,clearly
かぐ,家具,furniture
ほんだな,本棚,bookcase
いつか,,"one day, someday"
たてます,建てます,build
すばらしい,,wonderful
こどもたち,子どもたち,children
だいすき,大好き,like very much
しゅじんこう,主人公,"hero, heroine"
かたち,形,shape
ふしぎ,不思議,"fantastic, mysterious"
ポケット,,pocket
たとえば,,for example
つけます,付けます,"attach, put on"
じゆうに,自由に,freely
そら,空,sky
とびます,飛びます,fly
むかし,,"old days, ancient times"
じぶん,自分,oneself
しょうらい,将来,future
ドラえもん,,name of a cartoon character
うれます,売れます,"[bread] sell, be sold"
おどります,踊ります,dance
かみます,噛みます,"chew, bite"
えらびます,選びます,choose
かよいます,[大学に～] 通います,go to and from [university]
メモします,,take a memo
まじめ[な],,"serious, earnest"
ねっしん[な],熱心[な],"great, admirable"
えらい,偉い,"proper, just right"
けしき,景色,"scenery, view"
だいどころ,台所,hair salon
けいけん,経験,experience
にんき,人気,popularity (がくせいに～) が あります: be popular [with students]
かたち,形,"form, shape"
いろ,色,colour
あじ,味,taste
ガム,,chewing gum
しなもの,品物,goods
ねだん,値段,price
きゅうりょう,給料,salary
ボーナス,,bonus
ゲーム,,(computer) game
ばんぐみ,番組,programme
ドラマ,,drama
かしゅ,歌手,singer
しょうせつ,小説,novel
しょうせつか,小説家,novelist
か[し],～家,"-er, -ist (e.g. painter, novelist)"
き,～機,~ machine
むすこ,息子,(my) son
むすこさん,息子さん,(someone else's) son
むすめ,娘,(my) daughter
むすめさん,娘さん,(someone else's) daughter
じぶん,自分,oneself
しょうらい,将来,future
しばらく,,a little while
だいたい,,"usually, mostly"
それに,,in addition
それで,,and so
ちょっと おねがいが あるんですが。,ちょっと お願いが あるんですが。,I have a [small] favour to ask.
じつは,実は,as a matter of fact
かいわ,会話,conversation
うーん,,"well, let me see, hmm..."
おしらせ,お知らせ,notice
さんかします,参加します,"participate, join, attend"
ひ,日,date
どようび,土曜日,Saturday
たいいくかん,体育館,gymnasium
むりょう,無料,free of charge
さそいます,誘います,"invite, ask someone to join"
イベント,イベント,event
あきます,開きます,[a door] opens
しまります,閉まります,"[a door] closes, shuts"
つきます,点きます,"[a light] comes on, is turned on"
きえます,消えます,[a light] goes off
こわれます,壊れます,[a chair] breaks
われます,割れます,"[a glass] breaks, smashes"
おれます,折れます,"[a tree] breaks,snaps"
やぶれます,破れます,[paper] tears
よごれます,汚れます,[clothes] get dirty
つきます,付きます,[a pocket] is attached
はずれます,外れます,[a button] is undone
とまります,止まります,"[a car] stops,parks"
まちがえます,間違えます,[a person] makes a mistake
おとします,落とします,"drops,loses"
かかります,掛かります,is locked
ふきます,拭きます,wipes
とりかえます,取り替えます,changes
かたづけます,片づけます,"puts (things) in order,tidies up"
[お]さら,[お]皿,"plate,dish"
[お]ちゃわん,茶碗,(rice) bowl
コップ,,glass (vessel)
ガラス,,glass (material)
ふくろ,袋,bag
しょるい,書類,"document,papers"
えだ,枝,"branch,twig"
えきいん,駅員,station attendant
こうばん,交番,police box
スピーチ,,speech (~をします: gives/makes a speech)
おさき,お先,"After you, go ahead, please"
げんじものがたり,源氏物語,The Tale of Genji (a novel written by Murasaki Shikibu in the Heian Era)
かいわ,会話,conversation
いま,今,now
てんしゃ,電車,train
のこ,残る,"to be left behind,lost property"
くらい,ぐらい,"about,around"
がわ,側,side
ポケット,,pocket
へん,辺,"around,about"
おば,,"auntie,elderly woman"
